Cover_Type,Cover_Long,Max_Coverage_pct,Temp_Celsius,Wind_Speed,Wind_Direction,Visibility,Date
OVC,Overcast,1.00,0.6,10,40,2,2023-01-04
OVC,Overcast,1.00,0.6,8,30,1.25,2023-01-04
OVC,Overcast,1.00,0.6,9,20,2,2023-01-04
OVC,Overcast,1.00,0.6,10,20,3,2023-01-04
OVC,Overcast,1.00,0.6,9,10,2,2023-01-04
OVC,Overcast,1.00,0,9,10,3,2023-01-04
OVC,Overcast,1.00,0,10,20,1.75,2023-01-04
OVC,Overcast,1.00,0,8,10,4,2023-01-04
OVC,Overcast,1.00,-0.6,10,10,2,2023-01-05
OVC,Overcast,1.00,-0.6,9,10,1.25,2023-01-05
OVC,Overcast,1.00,-1.1,11,10,1.5,2023-01-05
OVC,Overcast,1.00,-1,10,10,2,2023-01-05
OVC,Overcast,1.00,-1.1,11,10,2.5,2023-01-05
OVC,Overcast,1.00,-1.1,9,10,3,2023-01-05
OVC,Overcast,1.00,-1.1,11,360,7,2023-01-05
OVC,Overcast,1.00,-1.1,12,10,4,2023-01-05
OVC,Overcast,1.00,-1.7,11,360,7,2023-01-05
OVC,Overcast,1.00,-1.7,9,360,3,2023-01-05
OVC,Overcast,1.00,-2.2,14,10,7,2023-01-05
OVC,Overcast,1.00,-2.2,12,360,5,2023-01-05
OVC,Overcast,1.00,-2.2,12,350,4,2023-01-05
BKN,Broken,0.88,-4,11,360,6,2023-01-05
OVC,Overcast,1.00,-3.9,12,360,9,2023-01-05
OVC,Overcast,1.00,-3.3,7,360,10,2023-01-05
BKN,Broken,0.88,-4.4,11,350,10,2023-01-05
BKN,Broken,0.88,-3.9,10,340,10,2023-01-05
BKN,Broken,0.88,-3.3,8,320,10,2023-01-05
BKN,Broken,0.88,-3.3,11,320,10,2023-01-05
BKN,Broken,0.88,-3.9,9,320,10,2023-01-05
BKN,Broken,0.88,-3.9,8,320,10,2023-01-05
OVC,Overcast,1.00,-5.6,9,330,5,2023-01-05
OVC,Overcast,1.00,-6,6,300,3,2023-01-05
OVC,Overcast,1.00,-6.1,5,290,7,2023-01-06
OVC,Overcast,1.00,-6.1,5,340,3,2023-01-06
OVC,Overcast,1.00,-6.7,6,360,9,2023-01-06
OVC,Overcast,1.00,-7.2,7,320,7,2023-01-06
OVC,Overcast,1.00,-8,7,320,8,2023-01-06
OVC,Overcast,1.00,-7.8,6,310,8,2023-01-06
OVC,Overcast,1.00,-7.2,8,280,9,2023-01-06
OVC,Overcast,1.00,-8.3,5,300,7,2023-01-06
OVC,Overcast,1.00,-8.3,3,290,8,2023-01-06
OVC,Overcast,1.00,-8.3,5,280,8,2023-01-06
OVC,Overcast,1.00,-8.3,4,250,9,2023-01-06
OVC,Overcast,1.00,-8.9,4,270,6,2023-01-06
OVC,Overcast,1.00,-10,5,260,7,2023-01-06
OVC,Overcast,1.00,-10.6,5,270,3,2023-01-06
OVC,Overcast,1.00,-11.1,4,270,2,2023-01-06
BKN,Broken,0.88,-12.8,6,230,3,2023-01-06
BKN,Broken,0.88,-12.2,4,280,8,2023-01-06
SCT,Scattered,0.50,-11.7,4,220,9,2023-01-06
FEW,Few Clouds,0.25,-10.6,3,220,9,2023-01-06
FEW,Few Clouds,0.25,-9.4,4,180,9,2023-01-06
FEW,Few Clouds,0.25,-9.4,4,130,9,2023-01-06
CLR,Clear,0,-8.3,3,140,9,2023-01-06
CLR,Clear,0,-7.8,6,250,7,2023-01-06
CLR,Clear,0,-9.4,5,230,7,2023-01-06
CLR,Clear,0,-11.1,5,220,7,2023-01-06
CLR,Clear,0,-11.7,4,240,7,2023-01-07
CLR,Clear,0,-12.2,4,230,6,2023-01-07
CLR,Clear,0,-13.3,4,230,6,2023-01-07
CLR,Clear,0,-13.3,4,240,6,2023-01-07
CLR,Clear,0,-14.4,4,230,7,2023-01-07
CLR,Clear,0,-15,3,230,7,2023-01-07
CLR,Clear,0,-15.6,0,0,5,2023-01-07
CLR,Clear,0,-16.1,3,240,5,2023-01-07
CLR,Clear,0,-16.7,4,230,5,2023-01-07
CLR,Clear,0,-16.7,3,210,5,2023-01-07
CLR,Clear,0,-16.7,0,0,4,2023-01-07
CLR,Clear,0,-17.2,0,0,5,2023-01-07
FEW,Few Clouds,0.25,-17.2,0,0,5,2023-01-07
FEW,Few Clouds,0.25,-17.2,4,250,5,2023-01-07
CLR,Clear,0,-17.2,3,0,6,2023-01-07
CLR,Clear,0,-16.1,4,170,6,2023-01-07
CLR,Clear,0,-14.4,0,0,6,2023-01-07
CLR,Clear,0,-12.2,3,170,6,2023-01-07
CLR,Clear,0,-9.4,3,170,10,2023-01-07
CLR,Clear,0,-8.3,3,160,8,2023-01-07
FEW,Few Clouds,0.25,-7.2,0,0,7,2023-01-07
FEW,Few Clouds,0.25,-6.7,0,0,7,2023-01-07
CLR,Clear,0,-7.2,3,230,7,2023-01-07
CLR,Clear,0,-9.4,4,190,7,2023-01-07
CLR,Clear,0,-8.9,5,220,7,2023-01-08
CLR,Clear,0,-11.1,4,200,7,2023-01-08
CLR,Clear,0,-11.7,4,220,7,2023-01-08
CLR,Clear,0,-12.2,4,200,7,2023-01-08
CLR,Clear,0,-13.3,0,0,7,2023-01-08
CLR,Clear,0,-15,4,160,7,2023-01-08
CLR,Clear,0,-14.4,5,140,5,2023-01-08
CLR,Clear,0,-13.9,0,0,5,2023-01-08
CLR,Clear,0,-15,4,130,5,2023-01-08
CLR,Clear,0,-15.6,4,130,5,2023-01-08
CLR,Clear,0,-15.6,0,0,5,2023-01-08
CLR,Clear,0,-16.1,0,0,5,2023-01-08
CLR,Clear,0,-16.1,5,140,5,2023-01-08
FEW,Few Clouds,0.25,-15.6,7,140,4,2023-01-08
FEW,Few Clouds,0.25,-15.6,4,150,4,2023-01-08
CLR,Clear,0,-13.3,3,140,4,2023-01-08
CLR,Clear,0,-10.6,5,170,6,2023-01-08
FEW,Few Clouds,0.25,-7.8,6,160,6,2023-01-08
FEW,Few Clouds,0.25,-6.1,3,180,6,2023-01-08
CLR,Clear,0,-5,5,180,6,2023-01-08
CLR,Clear,0,-5,6,160,6,2023-01-08
CLR,Clear,0,-5,6,190,6,2023-01-08
CLR,Clear,0,-6.7,4,160,6,2023-01-08
CLR,Clear,0,-6.7,5,220,6,2023-01-08
CLR,Clear,0,-7.2,6,200,6,2023-01-09
CLR,Clear,0,-7.8,5,210,6,2023-01-09
CLR,Clear,0,-9.4,0,0,5,2023-01-09
CLR,Clear,0,-8.9,0,0,5,2023-01-09
CLR,Clear,0,-10,4,180,4,2023-01-09
CLR,Clear,0,-11.1,3,130,4,2023-01-09
CLR,Clear,0,-11.7,5,150,4,2023-01-09
CLR,Clear,0,-11.7,0,0,4,2023-01-09
CLR,Clear,0,-12.2,4,80,4,2023-01-09
CLR,Clear,0,-12.8,4,130,4,2023-01-09
CLR,Clear,0,-12.2,4,130,3,2023-01-09
CLR,Clear,0,-11.7,3,110,4,2023-01-09
SCT,Scattered,0.50,-11.7,5,100,2,2023-01-09
SCT,Scattered,0.50,-11.1,6,130,2,2023-01-09
SCT,Scattered,0.50,-9.4,6,120,2.5,2023-01-09
SCT,Scattered,0.50,-7.8,8,130,3,2023-01-09
BKN,Broken,0.88,-6.7,7,130,3,2023-01-09
BKN,Broken,0.88,-4.4,8,120,4,2023-01-09
BKN,Broken,0.88,-3.3,8,110,4,2023-01-09
OVC,Overcast,1.00,-2.2,8,130,5,2023-01-09
OVC,Overcast,1.00,-1.1,7,140,5,2023-01-09
OVC,Overcast,1.00,0,8,150,6,2023-01-09
OVC,Overcast,1.00,-0.6,7,140,6,2023-01-09
OVC,Overcast,1.00,-0.6,6,130,7,2023-01-09
OVC,Overcast,1.00,-0.6,3,0,6,2023-01-10
OVC,Overcast,1.00,-0.6,3,220,6,2023-01-10
OVC,Overcast,1.00,-0.6,4,240,6,2023-01-10
OVC,Overcast,1.00,-1.7,5,230,6,2023-01-10
OVC,Overcast,1.00,-3.3,3,230,5,2023-01-10
OVC,Overcast,1.00,-6,8,220,4,2023-01-10
OVC,Overcast,1.00,-5.6,6,230,4,2023-01-10
OVC,Overcast,1.00,-6.7,4,230,4,2023-01-10
OVC,Overcast,1.00,-6.7,5,220,5,2023-01-10
OVC,Overcast,1.00,-6.7,3,240,5,2023-01-10
OVC,Overcast,1.00,-6.7,3,260,4,2023-01-10
OVC,Overcast,1.00,-6.1,0,0,4,2023-01-10
OVC,Overcast,1.00,-5,0,0,1.75,2023-01-10
OVC,Overcast,1.00,-5,3,230,2,2023-01-10
OVC,Overcast,1.00,-4.4,3,230,1.5,2023-01-10
OVC,Overcast,1.00,-3.9,5,230,0.75,2023-01-10
OVC,Overcast,1.00,-3.9,3,230,1,2023-01-10
OVC,Overcast,1.00,-3.9,4,240,1,2023-01-10
OVC,Overcast,1.00,-3.3,5,240,1.25,2023-01-10
OVC,Overcast,1.00,-2.8,0,0,1.5,2023-01-10
OVC,Overcast,1.00,-2.8,0,0,1.5,2023-01-10
OVC,Overcast,1.00,-2.2,4,220,1.5,2023-01-10
OVC,Overcast,1.00,-2.8,4,200,1.5,2023-01-10
OVC,Overcast,1.00,-2.8,0,0,2,2023-01-11
OVC,Overcast,1.00,-2.8,0,0,2,2023-01-11
OVC,Overcast,1.00,-2.8,3,230,2,2023-01-11
OVC,Overcast,1.00,-3.3,6,230,2,2023-01-11
OVC,Overcast,1.00,-3.3,0,0,2,2023-01-11
OVC,Overcast,1.00,-3,0,0,2.5,2023-01-11
OVC,Overcast,1.00,-3.3,0,0,2.5,2023-01-11
OVC,Overcast,1.00,-3.3,0,0,2.5,2023-01-11
OVC,Overcast,1.00,-2.8,4,90,2,2023-01-11
OVC,Overcast,1.00,-2.2,0,0,2,2023-01-11
OVC,Overcast,1.00,-2.2,7,60,2,2023-01-11
OVC,Overcast,1.00,-2.2,0,0,2.5,2023-01-11
BKN,Broken,0.88,-2.2,3,110,2.5,2023-01-11
OVC,Overcast,1.00,-1.7,5,70,2.5,2023-01-11
OVC,Overcast,1.00,-1.7,5,60,2.5,2023-01-11
OVC,Overcast,1.00,-1.1,4,100,2.5,2023-01-11
OVC,Overcast,1.00,-1.1,0,0,2.5,2023-01-11
