Type,Station,Observed_Date,Temp_Celsius,DewPoint_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility,Observation,Logged_Date
"METAR","KMSP","2022-12-28T13:53:00Z",-1.7,-5.6,10,150,"OVC",10,"KMSP 281353Z 15010KT 10SM FEW180 BKN200 OVC250 M02/M06 A2942 RMK AO2 SLP973 T10171056 $",2022.12.28-08.55.01
"METAR","KMSP","2022-12-28T14:53:00Z",-0.6,-5,7,160,"OVC",10,"KMSP 281453Z 16007KT 10SM FEW150 OVC200 M01/M05 A2943 RMK AO2 SLP976 T10061050 53002 $",2022.12.28-09.55.01
"METAR","KMSP","2022-12-28T15:53:00Z",0,-3.9,7,150,"OVC",10,"KMSP 281553Z 15007KT 10SM BKN170 OVC200 00/M04 A2943 RMK AO2 SLP978 T00001039 $",2022.12.28-10.55.01
"METAR","KMSP","2022-12-28T16:53:00Z",1.1,-3.3,8,160,"OVC",10,"KMSP 281653Z 16008KT 10SM BKN170 OVC200 01/M03 A2943 RMK AO2 SLP976 T00111033 $",2022.12.28-11.55.01
"METAR","KMSP","2022-12-28T17:53:00Z",1.7,-2.8,11,170,"OVC",10,"KMSP 281753Z 17011KT 10SM OVC170 02/M03 A2941 RMK AO2 SLP969 4/008 T00171028 10017 21022 58005",2022.12.28-12.55.01
"METAR","KMSP","2022-12-28T18:53:00Z",1.7,-2.8,5,170,"OVC",10,"KMSP 281853Z 17005KT 10SM BKN170 OVC200 02/M03 A2941 RMK AO2 SLP967 T00171028",2022.12.28-13.55.01
"METAR","KMSP","2022-12-28T19:53:00Z",2.8,-2.8,8,170,"OVC",10,"KMSP 281953Z 17008KT 10SM FEW140 BKN170 OVC250 03/M03 A2941 RMK AO2 SLP968 T00281028",2022.12.28-14.55.01
"METAR","KMSP","2022-12-28T20:53:00Z",2.8,-2.2,10,160,"OVC",10,"KMSP 282053Z 16010KT 10SM BKN160 OVC250 03/M02 A2940 RMK AO2 SLP964 T00281022 57004",2022.12.28-15.55.01
"METAR","KMSP","2022-12-28T21:53:00Z",2.8,-2.2,8,170,"OVC",10,"KMSP 282153Z 17008KT 10SM BKN160 OVC250 03/M02 A2943 RMK AO2 SLP975 T00281022",2022.12.28-16.55.01
"METAR","KMSP","2022-12-28T22:53:00Z",2.2,-2.2,9,160,"OVC",10,"KMSP 282253Z 16009KT 10SM FEW090 BKN150 OVC250 02/M02 A2945 RMK AO2 SLP981 VIRGA T00221022",2022.12.28-17.55.01
